video_id,question,keyword,subtitle
video_id,question,subtitle,keyword
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '我今天想来跟大家聊聊筋膜腔', 'start': 1.8, 'end': 4.26, 'duration': 2.46}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '筋膜腔的这个东西它已经流行一到两年了', 'start': 4.26, 'end': 7.76, 'duration': 3.5}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '那它原本是属于运动防护员或是物理治疗师', 'start': 7.76, 'end': 11.5, 'duration': 3.74}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '帮助别人放松用的东西', 'start': 11.5, 'end': 13.74, 'duration': 2.24}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '那我们可以利用它很快速的去放松', 'start': 13.74, 'end': 16.44, 'duration': 2.700000000000001}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '我们想要放松的肌肉', 'start': 16.44, 'end': 18.64, 'duration': 2.1999999999999993}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '那我们也可以用我们所知道的解剖知识', 'start': 18.64, 'end': 21.8, 'duration': 3.16}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
ocNhaC0Hf-c,如何摆放腿部、如何确定筋膜枪的强度及与大腿的角度以放松腿部？,"{'text': '来做筋膜的处理', 'start': 21.8, 'end': 24.24, 'duration': 2.4399999999999977}","Hello! I'm BAI Chat, a chatbot built with OpenAI's GPT-3.5 language model. I'm here to help you with any questions or tasks you need assistance with. How can I be of service to you today"
